ai_link_path,exists_at_ai_path,relocated_candidate,exists_at_relocated_candidate
/Users/xq/Desktop/AZ-mct1-red-scp3-green-1-20x/az-mct1-red-scp3-green-1-20x_b0v0t0z0c0x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/AZ-mct1-red-scp3-green-1-20x/az-mct1-red-scp3-green-1-20x_b0v0t0z0c0x0-1024y0-1024.tif,True
/Users/xq/Desktop/AZ-mct1-red-scp3-green-1-20x/az-mct1-red-scp3-green-1-20x_b0v0t0z0c1x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/AZ-mct1-red-scp3-green-1-20x/az-mct1-red-scp3-green-1-20x_b0v0t0z0c1x0-1024y0-1024.tif,True
/Users/xq/Desktop/AZ-mct1-red-scp3-green-1-20x/az-mct1-red-scp3-green-1-20x_b0v0t0z0c1x0-1024y0-merge.tif,False,/Users/xq/Desktop/未命名文件夹/AZ-mct1-red-scp3-green-1-20x/az-mct1-red-scp3-green-1-20x_b0v0t0z0c1x0-1024y0-merge.tif,True
/Users/xq/Desktop/KS-mct1-red-scp3-green-2-20x/KS-mct1-red-scp3-green-2-20x_b0v0t0z0c0x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/KS-mct1-red-scp3-green-2-20x/KS-mct1-red-scp3-green-2-20x_b0v0t0z0c0x0-1024y0-1024.tif,True
/Users/xq/Desktop/KS-mct1-red-scp3-green-2-20x/KS-mct1-red-scp3-green-2-20x_b0v0t0z0c1x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/KS-mct1-red-scp3-green-2-20x/KS-mct1-red-scp3-green-2-20x_b0v0t0z0c1x0-1024y0-1024.tif,True
/Users/xq/Desktop/KS-mct1-red-scp3-green-2-20x/KS-mct1-red-scp3-green-2-20x_b0v0t0z0c1x0-1024y0-merge.tif,False,/Users/xq/Desktop/未命名文件夹/KS-mct1-red-scp3-green-2-20x/KS-mct1-red-scp3-green-2-20x_b0v0t0z0c1x0-1024y0-merge.tif,True
/Users/xq/Desktop/control-mct1-red-scp3-green-1-20x/control-mct1-red-scp3-green-1-20x_b0v0t0z0c0x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/control-mct1-red-scp3-green-1-20x/control-mct1-red-scp3-green-1-20x_b0v0t0z0c0x0-1024y0-1024.tif,True
/Users/xq/Desktop/control-mct1-red-scp3-green-1-20x/control-mct1-red-scp3-green-1-20x_b0v0t0z0c0x0-1024y0-merge.tif,False,/Users/xq/Desktop/未命名文件夹/control-mct1-red-scp3-green-1-20x/control-mct1-red-scp3-green-1-20x_b0v0t0z0c0x0-1024y0-merge.tif,True
/Users/xq/Desktop/control-mct1-red-scp3-green-1-20x/control-mct1-red-scp3-green-1-20x_b0v0t0z0c1x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/control-mct1-red-scp3-green-1-20x/control-mct1-red-scp3-green-1-20x_b0v0t0z0c1x0-1024y0-1024.tif,True
/Users/xq/Desktop/inob-mct1-red-scp3-green-2-20x/inob-mct1-red-scp3-green-2-20x_b0v0t0z0c0-2x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/inob-mct1-red-scp3-green-2-20x/inob-mct1-red-scp3-green-2-20x_b0v0t0z0c0-2x0-1024y0-1024.tif,True
/Users/xq/Desktop/inob-mct1-red-scp3-green-2-20x/inob-mct1-red-scp3-green-2-20x_b0v0t0z0c0x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/inob-mct1-red-scp3-green-2-20x/inob-mct1-red-scp3-green-2-20x_b0v0t0z0c0x0-1024y0-1024.tif,True
/Users/xq/Desktop/inob-mct1-red-scp3-green-2-20x/inob-mct1-red-scp3-green-2-20x_b0v0t0z0c1x0-1024y0-1024.tif,False,/Users/xq/Desktop/未命名文件夹/inob-mct1-red-scp3-green-2-20x/inob-mct1-red-scp3-green-2-20x_b0v0t0z0c1x0-1024y0-1024.tif,True
